pk_kpi;codigo;hospital;estado;total_int;tmi;int_cli;tmi_cli;cpi_cli;cpd_cli;total_diaria_cli;custo_total_cli;total_cobrado_cli;total_liberado_cli;total_glosado_cli;total_glosado_cli_perc;int_cir;tmi_cir;cpi_cir;cpd_cir;total_diaria_cir;custo_total_cir;total_cobrado_cir;total_liberado_cir;total_glosado_cir;total_glosado_cir_perc;total_cobrado;total_liberado;total_glosado;total_glosado_perc;referencia
1;421111;HOSP DO CORACAO DE ALAGOAS;AL;25;4,48;16;5,6875;29.763,79;5.233,19;91;476.220,61;506.294,67;476.220,61;30.074,06;5,94;9;2,3333;27.156,05;11.638,31;21;244.404,46;266.940,35;244.404,46;22.535,89;8,44;773.235,02;720.625,07;52.609,95;6,8;01/01/2022
2;421111;HOSP DO CORACAO DE ALAGOAS;AL;21;4,0476;13;5,9231;40.658,82;6.864,48;77;528.564,70;556.146,59;528.564,70;27.581,89;4,96;8;1;48.596,18;48.596,18;8;388.769,45;390.617,69;388.769,45;1.848,24;0,47;946.764,28;917.334,15;29.430,13;3,11;01/02/2022
3;421111;HOSP DO CORACAO DE ALAGOAS;AL;13;5,6923;8;8,625;66.706,70;7.734,11;69;533.653,64;564.104,63;533.653,64;30.450,99;5,4;5;1;46.098,32;46.098,32;5;230.491,58;231.849,61;230.491,58;1.358,03;0,59;795.954,24;764.145,22;31.809,02;4;01/03/2022
4;421111;HOSP DO CORACAO DE ALAGOAS;AL;16;3,3125;13;3,6923;24.127,14;6.534,44;48;313.652,88;325.430,57;313.652,88;11.777,69;3,62;3;1,6667;72.289,61;43.373,77;5;216.868,84;219.225,19;216.868,84;2.356,35;1,07;544.655,76;530.521,72;14.134,04;2,6;01/04/2022
5;421111;HOSP DO CORACAO DE ALAGOAS;AL;6;3,5;5;3,8;82.590,60;21.734,37;19;412.953,02;426.608,64;412.953,02;13.655,62;3,2;1;2;94.039,42;47.019,71;2;94.039,42;95.263,59;94.039,42;1.224,17;1,29;521.872,23;506.992,44;14.879,79;2,85;01/05/2022
6;421111;HOSP DO CORACAO DE ALAGOAS;AL;24;1,625;10;3,4;42.890,05;12.614,72;34;428.900,46;443.486,45;428.900,46;14.585,99;3,29;14;0,3571;23.517,93;65.850,19;5;329.250,96;335.188,26;329.250,96;5.937,30;1,77;778.674,71;758.151,42;20.523,29;2,64;01/06/2022
7;47619;HOSP MEMORIAL ARTHUR RAMOS;AL;133;2,7068;49;5,7551;19.334,29;3.359,50;282;947.380,41;1.050.233,64;947.380,41;102.853,23;9,79;84;0,9286;9.976,59;10.744,02;78;838.033,93;929.166,71;838.033,93;91.132,78;9,81;1.979.400,35;1.785.414,34;193.986,01;9,8;01/01/2022
8;47619;HOSP MEMORIAL ARTHUR RAMOS;AL;117;2,7265;47;4,7234;13.404,02;2.837,79;222;629.989,00;699.118,99;629.989,00;69.129,99;9,89;70;1,3857;18.820,66;13.581,92;97;1.317.445,86;1.436.543,56;1.317.445,86;119.097,70;8,29;2.135.662,55;1.947.434,86;188.227,69;8,81;01/02/2022
9;47619;HOSP MEMORIAL ARTHUR RAMOS;AL;83;3,253;37;5,5135;26.013,79;4.718,19;204;962.510,32;1.056.900,46;962.510,32;94.390,14;8,93;46;1,4348;19.701,70;13.731,49;66;906.278,30;970.724,07;906.278,30;64.445,77;6,64;2.027.624,53;1.868.788,62;158.835,91;7,83;01/03/2022
10;47619;HOSP MEMORIAL ARTHUR RAMOS;AL;105;2,9905;51;5,2549;18.131,18;3.450,34;268;924.690,36;1.025.283,23;924.690,36;100.592,87;9,81;54;0,8519;11.436,17;13.425,07;46;617.553,15;672.262,36;617.553,15;54.709,21;8,14;1.697.545,59;1.542.243,51;155.302,08;9,15;01/04/2022
11;47619;HOSP MEMORIAL ARTHUR RAMOS;AL;124;3,7097;53;7,0943;25.692,64;3.621,57;376;1.361.709,83;1.515.921,06;1.361.709,83;154.211,23;10,17;71;1,1831;17.404,33;14.710,80;84;1.235.707,10;1.336.584,08;1.235.707,10;100.876,98;7,55;2.852.505,14;2.597.416,93;255.088,21;8,94;01/05/2022
12;47619;HOSP MEMORIAL ARTHUR RAMOS;AL;90;3,3778;56;4,9643;12.968,21;2.612,30;278;726.219,82;799.249,91;726.219,82;73.030,09;9,14;34;0,7647;13.845,14;18.105,19;26;470.734,85;496.267,43;470.734,85;25.532,58;5,14;1.295.517,34;1.196.954,67;98.562,67;7,61;01/06/2022
13;131717;HOSPITAL DO ACUCAR ;AL;2;1;0;0;0;0;0;0;0;0;0;0;2;1;3.915,17;3.915,17;2;7.830,34;8.389,03;7.830,34;558,69;6,66;8.389,03;7.830,34;558,69;6,66;01/01/2022
14;131717;HOSPITAL VEREDAS;AL;4;1;1;1;934,05;934,05;1;934,05;1.268,12;934,05;334,07;26,34;3;1;2.298,84;2.298,84;3;6.896,53;7.887,40;6.896,53;990,87;12,56;9.155,52;7.830,58;1.324,94;14,47;01/02/2022
15;131717;HOSPITAL VEREDAS;AL;6;3,1667;2;7,5;9.359,17;1.247,89;15;18.718,35;19.097,51;18.718,35;379,16;1,99;4;1;2.303,19;2.303,19;4;9.212,76;10.470,24;9.212,76;1.257,48;12,01;29.567,75;27.931,11;1.636,64;5,54;01/03/2022
16;131717;HOSPITAL VEREDAS;AL;5;1,4;1;3;2.046,65;682,22;3;2.046,65;2.090,91;2.046,65;44,26;2,12;4;1;1.526,14;1.526,14;4;6.104,55;7.392,47;6.104,55;1.287,92;17,42;9.483,38;8.151,20;1.332,18;14,05;01/04/2022
17;131717;HOSPITAL VEREDAS;AL;2;0,5;0;0;0;0;0;0;0;0;0;0;2;0,5;2.581,15;5.162,31;1;5.162,31;6.048,71;5.162,31;886,4;14,65;6.048,71;5.162,31;886,4;14,65;01/05/2022
18;131717;HOSPITAL VEREDAS;AL;8;6,625;3;16;7.809,04;488,07;48;23.427,12;26.050,25;23.427,12;2.623,13;10,07;5;1;2.000,71;2.000,71;5;10.003,53;11.690,37;10.003,53;1.686,84;14,43;37.740,62;33.430,65;4.309,97;11,42;01/06/2022
19;41610;STA CASA DE MIS DE MACEIO;AL;128;1,8438;38;3,6053;10.165,15;2.819,53;137;386.275,59;422.445,32;386.275,59;36.169,73;8,56;90;1,1;14.141,09;12.855,54;99;1.272.698,43;1.396.540,13;1.272.698,43;123.841,70;8,87;1.818.985,45;1.658.974,02;160.011,43;8,8;01/01/2022
